Total attrs: 57375
past greats	过去的伟人
number of affiliated colleges	附属学校
abundance_2	abundance_2
year_adopted	year_adopted
r_head_label	r_head_label
populationi	一个因素
Gleitschutz	gleitschutz
Impedance, kΩ	阻抗，KΩ
intake	摄入
Doubles wins	双打获胜
population_census_rank	population_census_rank
sixth-record	第六记录
car_class	car_class
sat serv 2	坐在服务2
sat serv 3	坐在服务3
sat serv 1	坐在服务1
sat serv 6	坐在服务6
sat serv 7	坐在服务7
sat serv 4	坐在服务4
sat serv 5	坐在服务5
sat serv 8	坐在服务8
sat serv 9	坐在服务9
asstant dean	asstant院长
head drum major	头鼓
exec director	执行董事
MXGP manufacturers	mxgp制造商
yearenddoublesranking	yearenddoublesranking
coord_display	coord_display
faculty members	教职人员
English voices	英语声音
term end2	学期2.
No. of tenants	租户号
SCHIFFBAR	schiffbar
Political parties	政党
:OS grid reference	操作系统网格参考
prev_year	prev_year
Magnetopause	磁层顶
subbox	小格子
rp_coordinates	rp_coordinates
label120	label120
LA	洛杉矶
Founder and Chairperson	创始人兼主席
current theme	当前主题
NCRHArunner	ncrharunner
Tournaments hosted	主办的比赛
ncaa_super_regionals	ncaa_super_regionals
deputy government_head	副government_head
SAMADHI_date	samadhi_date
Vergers	威格斯
Correspondent	记者
constituency_MLC8	constituency_mlc8
image2_caption	image2_caption
Gusts	阵风
map2 cap	MAP2帽
countryabbr	countryabbr
wrestling weight	摔跤重量
Tenants	租户
CFO	首席财务官
CFL	CFL
structural_engineer	structural_engineer
CFF	CFF
CFA	CFA
Noted as	注意到
current team	目前团队
ap music	美联社音乐
Phone ID	电话号码
CFP	CFP
saliente	saliente
board chair	董事会主席
sat chan 6	坐陈6
pcapupdate	pcapupdate
sat chan 4	坐陈4
sat chan 5	坐陈5
sat chan 2	坐陈2
sat chan 3	坐陈3
partner/spouse	配偶/配偶
sat chan 1	坐陈1
Shoreline impacted	海岸线冲击
Director of Music	音乐总监
Current region	当前区域
bwunit	bwunit
fit	适合
Newcomer of the year	一年中的新人
session3_type	session3_type
DatabaseFootball	databasefootball
premier reserves captain	预备队队长
area_land	area_land
First_Corona_Win	first_corona_win
constructed_date	constructed_date
songwriter	词曲作者
Merged with	合并
Motto in Eglish	在英语格言
inauguration_date	inauguration_date
framework	框架
First head	头头
Single 2 date	单2日
Mechanics	机械
Headquarters location	总部所在地
schoolname	schoolname
Ship Construction Cost	船舶建造成本
self-titled	自题
Who was it built for	它是谁建造的
Deputy Editor	副编辑
Next year	明年
burial	埋葬
Name alias	别名别名
Product_type	product_type
telescope	望远镜
Polyhedron_Type	polyhedron_type
2013-2014_touring_members	2013-2014_touring_members
No. of tasks	任务编号
childen	孩子
Construction began	施工开始
Party Secretary	党委书记
robust_struct_material	robust_struct_material
team_name	team_name
s-majority	s-majority
publication_type	publication_type
First awardee(s)	第一人（S）
actief in	Actief在
map_scale	map_scale
Park section	公园段
ISWC	09
len_in	len_in
Gini_ref	gini_ref
icc_world_cup_qualifier_first	icc_world_cup_qualifier_first
allele5a	allele5a
Major events	重大事件
Sister Channel	姊妹频道
adapt	适应
GP Last race	最后一站比赛
home pool	家庭游泳池
Head Master/Mistres	校长/教师
Spire height	尖塔高度
years1 1929–1932	1929–1932 years1
inpatient admissions	住院病人
Auditoriums	礼堂
population_sex ratio	population_sex比
designated_other2_num_position	designated_other2_num_position
vehicle_code_range	vehicle_code_range
sullname	sullname
area_total_acres	area_total_acres
creative_director	creative_director
maximum amount	最大量
draft_year	draft_year
weight, combat	重量，战斗
Christian equivalent	基督教当量
Speciality	专业
postseason9result	postseason9result
wetsite	网站
award26N	award26n
most valuable player	最有价值球员
lowest_location	lowest_location
ministries	部委
Commissioned in	委托
townlands	汤兰兹
GDP_per_capita_rank	gdp_per_capita_rank
percentage2_before	percentage2_before
Asana type	体位型
lat_NS	lat_ns
stat2year	stat2year
Twitter feed	推特喂
place of publication	出版地
College:	学院：
origedinfo	origedinfo
full-time professors	全职教授
elevationmax	elevationmax
married_to	married_to
Presidential nominee	总统候选人
Asia	亚洲
number of students	学生人数
PGA Championship	PGA锦标赛
Music_Director_Emeritus	music_director_emeritus
Updated 2015	更新2015
Arbeiderpartiet	arbeiderpartiet
British Matchplay	英国瑞
via2_9	via2_9
renovated	装修
service	服务
via2_5	via2_5
via2_4	via2_4
via2_7	via2_7
callout	标注
via2_1	via2_1
via2_3	via2_3
Conference:	会议：
last leader	最后一个领导
master	大师
Documents and statements	文件和报表
Original owner	原业主
political parties	政党
Organwalter	organwalter
Length_notes	length_notes
Audience Estimated	观众估计
Secondary_slogan	secondary_slogan
ru_year12start	ru_year12start
alternate_title	alternate_title
Cylindercount	cylindercount
seating-capacity	座位容量
image_tamanho	image_tamanho
currently on roll	目前在卷
Eamcet Code	eamcet代码
datafine-trasmissioneoriginale	datafine trasmissioneoriginale
Resonant frequency, Hz	共振频率
denominations	教派
physical_attributes	physical_attributes
Organwaltertitel	organwaltertitel
4OptionColor	4optioncolor
Project Director	项目总监
Executive dir	执行导演
Deforestation rate	森林砍伐率
closed_down	closed_down
associate writer	准作家
debut3year	debut3year
Intensified FOV	强化视场
lighting_director	lighting_director
Local_governments	local_governments
Software Type	软件类型
purpose	目的
Launch_date	launch_date
display size	显示大小
Third place10px	第三place10px
Date_r2	date_r2
spouse_wife	spouse_wife
UFLchampion	uflchampion
research head	研究头
2013 EBIDATA	2013 ebidata
portrayers	portrayers
os_grid_ref	os_grid_ref
debutactive	debutactive
logo_name	logo_name
hl	HL
disolution	溶解
via2_2	via2_2
Insurance 4	保险4
{{	{
boys and girls	男孩和女孩
gaelic-name	爱尔兰名字
diocese	教区
Coach(s)	教练（的）
ussr-start	苏联开始
BLSorALS	blsorals
points11	points11
ja_kanji	ja_kanji
portrayer	肖像画家
Nov_Lo_°F	nov_lo_°F
imagen	电影类
odilastdate	odilastdate
BF1 Podiums	BF1的领奖台
Custodians	托管人
umpireyears2	umpireyears2
portrayed	描绘
assistant_head_name	assistant_head_name
league try scorer	联盟试得分手
NCAA FCS Champs	NCAA的FCS冠军
cut	切
No. of buildings	建筑物的编号
Course_mi	course_mi
re-released by	再发布
hac	HAC
telephone_no.	telephone_no。
source	源
associatepastor	associatepastor
Viralzone	ViralZone
Pole_Driver_2	pole_driver_2
acceleration2	acceleration2
hat	帽子
Karaoke	歌厅
h1-surface	H1表面
municipal	市
elders	长老
in groups	成群
physics Prof	物理学教授
Youtube Channel	YouTube频道
Adoptive grandsons	养孙子
Gemeindekennzahl	gemeindekennzahl
foreigners	外国人
seasonlist	seasonlist
{{{thermal_diffusivity_note|}Thermal diffusivity (a)	{ { { thermal_diffusivity_note | }热扩散率（一）
award0N	award0n
istat	国家统计局
活跃年份	活跃年份
author_abbrev_zoo	author_abbrev_zoo
total shareholders equity	股东权益总额
phagspa-latin	变形拉丁
région	Ré祗园
era2_passengers	era2_passengers
translit_lang2_info	translit_lang2_info
Daily ridership	每日乘客量
Floruit	全盛时期
jlowerseed_series	jlowerseed_series
Notable aliases	曾用名
gymnasium capacity	体育馆能力
spin-offs	分拆
postcode_ area	postcode_地区
Rig	钻机
Total ships upgraded	总船舶升级
best defence team	最佳防守队
Hardness	硬度
Composers	作曲家
Software delivery model	软件交付模式
Most wins (manufacturer)	最胜（制造商）
axis-length	轴线长度
ESTYN number	Estyn数
Press Club	新闻社
timeslot2	timeslot2
NFLSuppDraftedRound	nflsuppdraftedround
grandslamsmixeddoublesresults	grandslamsmixeddoublesresults
academicdean	academicdean
Ofsted	此外，
crown	冠
Touring_members	touring_members
class_c_anode_current	class_c_anode_current
nonsworn	nonsworn
avg_class_size	avg_class_size
model id	模型标识
reunion	团圆
Education end	教育结束
carbon emissions	碳排放
GDAN	gdan
Biggest win	最大的胜利
number_of_platforms	number_of_platforms
SS_Round_No	ss_round_no
Administrative District	行政区
percent other race	其他种族
upper_grade	upper_grade
playing_teams	playing_teams
Assistant priest	助理牧师
This DVD	这一光盘
Guidance Head	导向头
Longest run	最长运行
Events results	事件结果
Race Name	种族名称
members LGU	成员的时刻
Ship (equivalent) power	船舶（当量）功率
{{{cor-type|}Tibetan	{ { {肺型| }藏
Academic staff	学术人员
bank name	银行名称
Facebook	Facebook
water tower	水塔
Athletes Oath	运动员宣誓
Devanagari	梵文
winsOhio League Championship	winsohio联赛冠军
Boarding Houses	寄宿住房
central director	中央主任
lastgame	最后的游戏
AFLdraftyear	afldraftyear
MVP_link3	mvp_link3
MVP_link2	mvp_link2
Composer1	composer1
routenumber	routenumber
Synonym	同义词
contained by	载
won5	won5
executive vice-chairman	常务副主席
customer service	客户服务
Vote required	投票要求
head of the high school	高中的领导
writing by	写作
ground capacity	地基承载力
Typical use	典型使用
informal_names	informal_names
starring	主演
Total_Conv_Races	total_conv_races
live_members	live_members
Film advance	电影前进
Lead Agency	领导机构
fabric	织物
image_skyline1	image_skyline1
adoptiveparents	adoptiveparents
HCWins	hcwins
Short description	简短描述
Collecting area	采集区
won3	可兑换
Fightsong	fightsong
stage3diff	stage3diff
controversy	争议
debutopponent	debutopponent
no_sb_champs	no_sb_champs
assocprincipal	assocprincipal
Ship deck	船甲板
écoulement	écoulement
Sep_Lo_°F	sep_lo_°F
term_length2	term_length2
term_length1	term_length1
era4_lines	era4_lines
twin1_city	twin1_city
house_deputy	house_deputy
Net_Profit	net_profit
Recent awardee(s)	最近的获奖者（S）
vice_principal	vice_principal
railint0506	railint0506
kickbox_decloss	kickbox_decloss
languages_sub	languages_sub
Ship yard number	船舶码数
establish_c	establish_c
IFAM	倒
DVD Release	光碟发行
center_code	center_code
lastdate2	lastdate2
match desc	匹配查询
Executive Editor	执行编辑
movie_music	movie_music
popdennote	popdennote
Gradeability	爬坡能力
conference_name	conference_name
makeup design	化妆设计
signature quote	签名报价
shoots	芽
p44	P44
Reconnaissance	侦察
Homeland Security start 2	国土安全2
related ethnic group	相关族
construction_end	construction_end
degreess	程度地
health end 2	健康2
pinout_caption2	pinout_caption2
formerly_called	formerly_called
special_districts_type	special_districts_type
Post Office	邮局
union	联盟
Ends	结束
Lates granddaughter	尖吻鲈的孙女
original_tenants	original_tenants
Relinquished	放弃了
story	故事
hghschool	hghschool
Technology Director	技术总监
t20idebutdate	t20idebutdate
captained_by	captained_by
disastablished	disastablished
num_employ	num_employ
executive consultant	执行顾问
olymicteammanager	olymicteammanager
Served Alongside	一起并肩
seats_before9	seats_before9
seats_before8	seats_before8
opening_subtitle	opening_subtitle
Founded by	成立
derivatives	衍生物
No. series	系列
vicat_note	vicat_note
active judges	活动法官
operating_expenditures	operating_expenditures
conforms to	符合
flag_periph	flag_periph
almae_matre	almae_matre
PopulationDensity	人口密度
stategov6	stategov6
stategov4	stategov4
stategov5	stategov5
spin	自旋
stategov3	stategov3
length_m	length_m
editorial position	编辑位置
next event	下一个事件
locator map	定位图
consti tuency_westminster	本tuency_westminster
rankAlexa	rankalexa
picture size	图片大小
firstproshow	firstproshow
winners-flagvar	获奖者flagvar
2nd deputy	第二代理
employ	采用
squads(Hazmat)	小队（危险品）
translit_lang1_info5	translit_lang1_info5
TDS	TDS
Web Page	网页
Choreographers	舞蹈编导
LastGameEverPlayed	lastgameeverplayed
Ship displacement (empty)	船舶位移（空）
Segegob end 3	3年底segegob
picture_caption	picture_caption
Navy end	海军末
reason_of_death	reason_of_death
old occupation	旧职业
vice-president of Research	研究副总裁
spourse	spourse
upper_school	upper_school
Unit Photographer	单位摄影师
feast_days	feast_days
unit cost	单位成本
Ministry5	ministry5
frame_style	frame_style
video platform	视频平台
Notable Honours	显著的荣誉
tvweekawards	tvweekawards
Voice_types	voice_types
designated_other2_textcolor	designated_other2_textcolor
Cremation place	火化的地方
suc-type	这种类型的
Phone number	电话号码
Overseas Chapter	海外章
identification_symbol_3_label	identification_symbol_3_label
South Defensive POY	南防御POY
split	分裂
online	在线
Label_map	label_map
Largest loss	最大损失
codename	代号
Listed feature	上市特点
visitor_4OT	visitor_4ot
creatorname19	creatorname19
half-sister	半妹妹
stat34label	stat34label
marches	游行
roster	花名册
year_sales	year_sales
gbgridref	gbgridref
qualifications	资格
creatorname16	creatorname16
GDAW	gdaw
CCISD Rating	ccisd评级
altitude	海拔高度
current_cmc_label	current_cmc_label
Second_Driver	second_driver
omsättning	OMSättning
sport5-wom	SPOT5口碑
{{{sep|}Qinggong	{ { {日}清宫|
editors_title	editors_title
r_assistant_head_label	r_assistant_head_label
award14num	award14num
long_EW	long_ew
country capital city	国家首都
associated bands	伴生带
cption	cption
Verger	教堂司事
principal8	principal8
principal9	principal9
:County	：县
race6_3rd	race6_3rd
principal1	principal1
Ex-Alumni	前校友
corporate	公司
principal5	principal5
principal6	principal6
LID	盖
Vice President end 2	副总统2
Vice President end 3	副总统3
vector_logo	vector_logo
webpage	网页
lunar_birth_year	lunar_birth_year
polyfat	polyfat
Interest on reserves	对外汇储备的兴趣
yearr	每年
years	年
professors	教授
episodes	集
Trustees	受托人
heightpx	heightpx
Team members	团队成员
Länge	我äNGE
coachteams3	coachteams3
Kesseldruck	kesseldruck
SOUND DESIGNER	音效设计师
Bill Link 1	比尔链接1
coachteams7	coachteams7
Units sold	单位出售
terrain Parks	地形公园
Cover Artist	封面艺术家
playback	回放
mantling	覆盖
titlw	titlw
suspension	悬浮
Designer(s)	设计师（的）
Sus clubes1	SUS clubes1
Vein	静脉
Strahlungsheizfläche	strahlungsheizflä车
year8	year8
year9	year9
recipients	收件人
civilian	平民
year4	4
year5	5
year6	年5
year7	7
year1	1
year2	二
year3	年
Postgraduates	研究生
Date repealed	废除日期
Span of killings	杀人事件
visitorcoach	visitorcoach
time of creation	创作时间
designer(s)	设计师（的）
Fast_Rider_Sidecar_Country	fast_rider_sidecar_country
emmyawards	emmyawards
IIFAW	iifaw
stopniE	stopnie
Dialling_code	dialling_code
Damsire	damsire
modelers/animators	建模/动画
Yellow	黄色的
arresting_authority	arresting_authority
name_for	name_for
Entry number	输入号码
U-17 World cup first	U17世界杯第一
Filling weight	填充重量
CFL East All-Star	CFL东部全明星
telescope_wavelength	telescope_wavelength
final_location	final_location
Flash exposure compensation	闪光曝光补偿
COSPAR_ID	cospar_id
Included with	包括
num episodes	Num发作
current_Sergeant_Major	current_sergeant_major
design_label	design_label
Live	生活
sponsor	赞助商
telescope10_name	telescope10_name
Electricity Sector Law	电力部门法
state_legislature1	state_legislature1
Manufactured by	制造
Chief2_position	chief2_position
Service hours	服务时间
Drama club	戏剧俱乐部
former profession	前职业
Spin-offs	分拆
Second_driver_r2	second_driver_r2
GameCount	gamecount
longed	渴望
Drums	鼓
internet	互联网
mapcaption2	mapcaption2
rider1	乘客1
runtime hours	运行时数
home field	家庭领域
movie color	电影色彩
TSU_N	tsu_n
escudo3	escudo3
Husband name	丈夫的名字
stage2afirst	stage2afirst
AppExchange Applications	AppExchange应用
Packs released	释放包
nextcomp	nextcomp
publishing_co	publishing_co
regional_scenes	regional_scenes
date decided	日期决定
headmaster(current)	校长（现任）
eyes color	眼睛颜色
post_title	post_title
interiorimage	interiorimage
Serie A (ice hockey)	意甲（冰球）
p1 seed	P1种子
team2_twenty20s_won	team2_twenty20s_won
alma_mate	alma_mate
Entropy	熵
MP	MP
lyrics by	歌词
sectionspostal	sectionspostal
coin_article	coin_article
ElectoralVotes	选举投票
web page	网页
banking 3	银行业3
banking 2	银行业2
reading age	阅读年龄
School IDNCES	学校idnces
diaphaniety	diaphaniety
Animation sv	动画SV
Native Name	本地名
annual attendance	年出席
rider6	rider6
rider7	rider7
rider4	rider4
rider5	rider5
rider2	乘客2
rider3	乘客3
rear trackwidth	后道宽
threea	三
deptuty	deptuty
playoffs_date	playoffs_date
year7end	year7end
working	工作
team_link	team_link
draftyear	draftyear
cteam2	cteam2
cteam1	cteam1
opposed	反对
Inmates	囚犯
other information	其他信息
chinese zodiac	中国生肖
newspapers(Magazines)	报纸（杂志）
executiveproducer(s)	executiveproducer（S）
img capt	IMG上尉
ellength	ellength
Extended plays	扩展剧
Aftertouch	触后
mens coach	男教练
Criminal Charges	刑事指控
Int. Tennis HoF	国际网球名人堂
riders	骑手
population-rank	人口等级
End date	结束日期
schoolnumber	schoolnumber
Notable awards	显著的奖励
wet weight	湿重
originally	原来
mixture_ratio	mixture_ratio
current incarnation	目前的化身
highschool position	高中时的位置
2013	二千零一十三
Training facilities	训练设施
following	以下
Skating club	滑冰俱乐部
B-side of the single	对单端
associationname	associationname
music award	音乐奖
MeanElev	meanelev
background Score	背景成绩
companystatus	companystatus
NCAA_tourneys	ncaa_tourneys
académie	ACADéMie
no._of_enrolled_students	no._of_enrolled_students
currency	货币
admirer	崇拜者
chairman of BoT	主席BOT
μ (Polarity)	（极性）
term end1	词可以
Financer	金融家
static_image_1_name	static_image_1_name
state_legislature3	state_legislature3
elevation ft	海拔英尺
Ship fuel	船舶燃料
imageinfo	ImageInfo
1namedata	1namedata
telescope2_type	telescope2_type
Tribe residing	居住的部落
Number of spans	跨度的数量
Career wins	事业胜
subdivision3	subdivision3
subdivision2	subdivision2
subdivision4	subdivision4
GT length	GT的长度
born_year	born_year
Certified	认证
Business Manager	业务经理
Descendant schools	后代学校
ellevation_ft	ellevation_ft
era3_propulsion_system	era3_propulsion_system
Founder and Creator	创始人和创建者
escudo6	escudo6
Children's areas	儿童领域
super14currentclub	super14currentclub
altdates5	altdates5
federal state	联邦州
morning show	晨秀
trading volume	交易量
LEAGUE	联赛
Book no.	第
Facebook website	脸谱网站
story by	故事
population_nonfarm_as_of	population_nonfarm_as_of
LargestCounty	largestcounty
raceearnings	raceearnings
premiere_conductor	premiere_conductor
subdivisions	细分
clcs	社区学习中心
Father-in-law	法律之父
FR_foot2	fr_foot2
World cup first	世界杯第一
Proto-language:	原语言：
online serv 9	在线服务9
Aug humidity	八月湿度
online serv 2	在线服务2
online serv 3	在线服务3
online serv 1	在线服务1
online serv 6	在线服务6
online serv 7	在线服务7
online serv 4	在线服务4
online serv 5	在线服务5
Premier Cup	总理杯
tennishofid	tennishofid
postdoctoral supervisor	博士后导师
superunit_inline_note_1	superunit_inline_note_1
seat_change21	seat_change21
Ancestor	祖先
rgbspace	空间
grounded	接地
InstrumentsCited	instrumentscited
Completed	完成
no_of_rural_localities	no_of_rural_localities
Previous event	以前的事件
imperial_unit	imperial_unit
wikibooks	维基教科书
phone number area code	电话号码区域码
Last_single	last_single
resting-place	安息
boats3	boats3
aircraft_code	aircraft_code
categorie	类
boats4	boats4
bgcolor_lable	bgcolor_lable
ref:RO:SIRUTA	参考：RO：siruta
Telugu_script	telugu_script
blank9_name	blank9_name
from Album	从相册
Years_active_(solista)	years_active_（Solista施工）
traffic	交通
created by	创造的
formal_name	formal_name
mill built	磨建
world	世界
Annual passengers ()M	年旅客（）
Example	例子
Ceased operations	停止经营
sun-sign	太阳星座
car_sign	car_sign
ccoordinates_display	ccoordinates_display
No. of residents	居民号
no._of_household 2000	no._of_household 2000
male_weight	male_weight
costume design	服装设计
BRITW	britw
Junior School Principal	初中校长
increase1_refnum	increase1_refnum
ru_year1end	ru_year1end
Vize Bürgermeister	维泽Bürgermeister
previous_publisher	previous_publisher
starting date	开始日期
Pasteurised	巴氏杀菌
music department	音乐系
seating	座位
championladies	championladies
superintendent	警司
relaunch date	发射日期
imageclass	图片处理类
foundation day	基础日
Founder/President	创始人/总裁
Notes:	注释：
firstt20iaway	firstt20iaway
DScheme	dscheme
voice type	语音类型
population_child	population_child
resting_plate	resting_plate
Born and Origin	出生与起源
Pharaoh	法老
designation4_free3value	designation4_free3value
last_play	last_play
ru_yearEend	ru_yeareend
data10b	data10b
data10a	data10a
NH record	NH记录
Associated schools	相关学校
parliament13	parliament13
parliament10	parliament10
Conference with most championships	多数锦标赛的会议
parliament15	parliament15
SPURWEITE	spurweite
display_size	display_size
sound director	声音导演
counties_threshold1	counties_threshold1
counties_threshold3	counties_threshold3
leadership	领导
Division one	分割
std1	STD1
Full Name	全名
Recognitions	认识
blank6_name	blank6_name
First_Country	first_country
stat22value	stat22value
key_labels	key_labels
chairpeople	chairpeople
debutyr2	debutyr2
Officially Opened	正式开业
debutyr4	debutyr4
sister school	姊妹学校
Number of floors	楼层数
First tie	第一次配合
BetN	占你们公司总生意
COO	首席运营官
Successor Church	继承教会
Vice Principal/Academics	副校长/学术
boats1	boats1
hl per ha	HL每公顷
uig	UIG
mun_formation1_leader_title	mun_formation1_leader_title
1st spouse	第一配偶
engaged	从事
Leading companies	龙头企业
boats2	boats2
additional design	附加设计
Individual or institution	个人或机构
Prev	沪指
technology	技术
World Cup first	世界杯第一
management.	管理层。
Profile	简介
Dean of College of Engg	大学工程学院院长
Movie Category	电影类别
afdb	非洲开发银行
Replacing	更换
theorized	理论
Chief Of Staff	参谋长
succeeded7	succeeded7
surface_gravity	surface_gravity
Justice start	正义开始
team titles	团队名称
succeeded3	succeeded3
Blood	血
t20_win_loss_record	t20_win_loss_record
Current drivers	当前驱动程序
time_slot	time_slot
managerclubs6	managerclubs6
board member of	董事会成员
Rear LCD monitor	后液晶显示器
Oxygen	氧
wikiquotes	名的维基语录
portal_name	portal_name
Commissioner	专员
birthvname	birthvname
commander-in-chief_title	commander-in-chief_title
LINKE NEBENFLÜSSE	临客nebenflÜSSE
Jul low C	七月低C
pop_2010census_rank	pop_2010census_rank
IRC	IRC
Jul low F	七月低F
max. engine_power	最大engine_power
Country or region	国家或地区
state chair	国家主席
NUTS	坚果
Run time	运行时间
secondary_hub	secondary_hub
percent more than one race	百分之多的比赛
Otros	其他
significant_advance	significant_advance
Local Government	地方政府
reactions	反应
Block size	块大小
name (U.S.)	名（美国）
Religious Order	宗教秩序
Publisher(s)	发行商
marriage_place	marriage_place
paper	纸
source_model	source_model
classification_nat	classification_nat
largest_loss	largest_loss
roots	根
Mint marks	薄荷痕迹
TT Wins	胜利
CityHallAddress	cityhalladdress
music	音乐
heldRelics	heldrelics
Length_mi	length_mi
twin12	twin12
course2	course2
course3	飞行路线
epoch	时代
course1	1.
course6	6
course7	每年为一时段
course4	发病1
Given for	给予
GP3Second_team_r1	gp3second_team_r1
course8	course8
caps(goals)2	大写（目标）2
namerom	namerom
colleague	同事
Current Ship Leaser	目前船舶承租人
Scheduled_laps	scheduled_laps
third-name	第三名
num_employes	num_employes
caps(goals)1	大写（目标）1
Football Team	足球队
thumb250px birth_date	thumb250px birth_date
guidance counselor	指导顾问
leistung	的是
pays1	pays1
successor to	继承人
total_injuries	total_injuries
GP Championships	大奖赛
juniororganscholar	juniororganscholar
distenda	distenda
years with team	与团队年
distendb	distendb
ESC best	ESC最好
third_color	third_color
nozzle diameter	喷嘴直径
Control Rods	控制棒
current series	电流系列
decay_product1	decay_product1
Authority	权威
Hindi_name	hindi_name
courses	课程
Official designation(s)	正式名称（的）
Corona_Poles	corona_poles
constructed date	建造日期
page views	页面视图
club gaa	俱乐部GAA
birtame	birtame
blankname2	blankname2
blankname1	blankname1
original networks	原始网络
Gemeinderatanzahl	gemeinderatanzahl
re-release_date	re-release_date
cost of 2012 extension	2012扩展成本
award10num	award10num
area_ urban_area_water_sq_mi	area_ urban_area_water_sq_mi
prevwinner	prevwinner
state_district	state_district
SDAN	119%
PSLEcutoff	pslecutoff
Exe. Producer	exe。制片人
Chairman	主席
Bremse	集团
playing_years	playing_years
vice president ed.	副总统
grand sire	伟大的陛下
house_name	house_name
hist_yr	hist_yr
conference6_ap_poll	conference6_ap_poll
measurements	测量
Tên	Tên
minister2_pfo	minister2_pfo
occuaption	occuaption
link5-name	link5名称
clin. director	临床。导演
market_value	market_value
Part(s) of plant	植物部分（的）
work place	工作场所
Most capped player	最有限制的球员
width_of_wheel	width_of_wheel
area_pin_code	area_pin_code
Upper School	上学校
drinkware	饮具
lastodidate	lastodidate
1stishmo5	1stishmo5
1stishmo4	1stishmo4
1stishmo7	1stishmo7
1stishmo6	1stishmo6
1stishmo1	1stishmo1
1stishmo3	1stishmo3
Axle load	轴载
name9a	name9a
Paralympic	残奥会
Sugars	糖
TransliterationSanskrit	transliterationsanskrit
Image_skyline	image_skyline
precip	沉淀
Aug precipitation mm	月降水量mm
population_municipality	population_municipality
num_rural_locality_divs	num_rural_locality_divs
construction cost	施工成本
isoform3	isoform3
umplalastyr	umplalastyr
GP Teams	大奖赛队
intl	国际
Vicar General	牧师一般
NACHWEIS-PEGEL1	nachweis-pegel1
Ship crew	船船员
decay_symbol	decay_symbol
zooa_name	zooa_name
First_Rider_Sidecar_Country	first_rider_sidecar_country
Acting President	代理主席
regional_champion	regional_champion
plane1_laststopover	plane1_laststopover
last release date	最后发布日期
span	跨度
Interim chancellor	临时议长
original background score	原背景成绩
swcwins	swcwins
websit	网站
area_community	area_community
Uses	使用
Football season	足球赛季
daughter_in_law	daughter_in_law
running_mate1	running_mate1
running_mate2	running_mate2
running_mate3	running_mate3
running_mate4	running_mate4
running_mate5	running_mate5
Counties	县
Student Council Advisor	学生会顾问
First_Truck_Race	first_truck_race
Equipo_retiro	equipo_retiro
